subject_id,epoch,label,mean_2,std_2,variance_2,skew_2,kurtosis_2,rms_2,zcr_2,delta_power_2,delta_relative_power_2,theta_power_2,theta_relative_power_2,alpha_power_2,alpha_relative_power_2,beta_power_2,beta_relative_power_2,gamma_power_2,gamma_relative_power_2,hjorth_activity_2,hjorth_mobility_2,hjorth_complexity_2,perm_entropy_2,approx_entropy_2,sample_entropy_2,shannon_entropy_2,stft_mean_power_2,wavelet_mean_power_2,higuchi_fd_2,hurst_exponent_2,lyapunov_exponent_2
healthy1,19,0,-3.00563421e-09,3.78913026e-06,1.43575082e-11,0.07334348,0.04922861,3.78913146e-06,0.03496094,2.0950597e-12,0.33965557,2.65911513e-12,0.43110144,1.75320758e-12,0.28423377,1.35682892e-12,0.21997201,4.73725041e-14,0.00768013,1.43575082e-11,0.11635128,0.81644965,0.56383264,0.50027322,0.43157745,3.45385288,8.083223416107903e-08,5.347091088219739e-06,0.9139768935529542,0.3978522658207466,0.0520495698889907
healthy1,20,0,-3.06392416e-08,4.09930922e-06,1.68043361e-11,0.14220532,0.32574352,4.09942373e-06,0.03372396,2.49120629e-12,0.3905039,2.7407455e-12,0.4296199,1.61912033e-12,0.25380186,1.17419382e-12,0.18405833,4.11025684e-14,0.00644295,1.68043361e-11,0.10430622,0.88641326,0.56237315,0.45217897,0.38102447,3.34749124,8.35030481773716e-08,5.355271126062271e-06,0.9135771316902974,0.4941726382537016,0.0527193603881983
healthy1,21,0,1.85532332e-08,4.14899663e-06,1.72141731e-11,0.13897447,0.18257782,4.14903811e-06,0.03307292,2.03586982e-12,0.35066246,2.3449397e-12,0.4038973,1.56984948e-12,0.27039414,1.28864465e-12,0.22195884,2.65560277e-14,0.00457407,1.72141731e-11,0.10290362,0.87629778,0.55869347,0.45223335,0.38165375,3.42504183,8.538753054206318e-08,4.986983546266486e-06,0.918182838389006,0.344635626802268,0.0537419256185141
healthy1,22,0,2.60964019e-09,4.43086924e-06,1.96326022e-11,-0.368838,0.76441595,4.43087e-06,0.02688802,4.43508698e-12,0.57987581,3.07883973e-12,0.40255009,1.0831482e-12,0.14161874,7.80954766e-13,0.10210775,2.41313948e-14,0.00315512,1.96326022e-11,0.08118089,0.93457345,0.55814805,0.35551901,0.30371347,2.87247546,8.195608597182337e-08,5.179538107481087e-06,0.9216852732069184,0.3678133418822179,0.0567086835955086
healthy1,23,0,4.90941489e-08,4.72300459e-06,2.23067723e-11,0.11123646,0.28626867,4.72325974e-06,0.02539062,4.82134521e-12,0.57698896,3.83433666e-12,0.45886984,1.29305143e-12,0.15474445,6.77452814e-13,0.08107339,2.61167898e-14,0.0031255,2.23067723e-11,0.07594103,0.96036638,0.55735578,0.32844922,0.28349378,2.81488059,8.724801696590868e-08,5.790911160242307e-06,0.9273337074317144,0.4032653673982911,0.0572370608399612
healthy1,24,0,-2.69213205e-08,5.98767123e-06,3.58522067e-11,-0.44587373,1.61339799,5.98773175e-06,0.02265625,8.37302692e-12,0.60191139,6.90057896e-12,0.49606159,1.67816376e-12,0.12063808,8.22752646e-13,0.05914518,2.00939291e-14,0.00144449,3.58522067e-11,0.06787842,1.0573756,0.53476349,0.28063731,0.23781777,2.66259947,1.0367300946895232e-07,7.70909609594243e-06,0.9444429067059308,0.3155888055162242,0.0603226839136534
healthy1,25,0,7.84321459e-09,6.68047657e-06,4.46287672e-11,-0.14891137,0.15591735,6.68048118e-06,0.01940104,9.75060106e-12,0.60061251,7.93959957e-12,0.48905937,2.14976334e-12,0.13242002,9.18741614e-13,0.05659217,1.7291535e-14,0.00106512,4.46287672e-11,0.06459575,1.10512636,0.52853446,0.2655506,0.23126214,2.64448215,1.1844000631494473e-07,8.201905185374057e-06,0.9495278998265329,0.3883473314921415,0.0626030428498303
healthy1,26,0,-5.13003729e-08,6.06454385e-06,3.67786921e-11,-0.05169803,0.17275066,6.06476082e-06,0.02089844,8.96721846e-12,0.62177407,6.55271561e-12,0.4543559,1.75847172e-12,0.12192991,8.91072142e-13,0.06178566,1.54598487e-14,0.00107196,3.67786921e-11,0.06687223,1.01633505,0.53172682,0.27857728,0.24366836,2.63100122,1.0713878566440784e-07,7.536722636586367e-06,0.948790127424634,0.3059968394775025,0.0621684865962987
healthy1,27,0,1.01309863e-08,6.67036326e-06,4.4493746e-11,-0.21648957,0.68198616,6.67037095e-06,0.02154948,8.8054803e-12,0.53241034,8.03437733e-12,0.48578674,2.53664339e-12,0.15337439,1.40506846e-12,0.08495539,1.18835453e-14,0.00071852,4.4493746e-11,0.07223973,1.0311361,0.52672603,0.29752562,0.23677461,2.81961734,1.1488667591483097e-07,8.766699217201934e-06,0.9536412900834692,0.3463811664036966,0.0618941034818468
healthy1,28,0,-1.52287555e-08,7.31428582e-06,5.3498777e-11,-0.21566078,1.77022437,7.31430167e-06,0.01796875,1.02891107e-11,0.62636713,7.53749102e-12,0.4588576,1.80817256e-12,0.11007558,7.90522273e-13,0.04812439,1.0166885e-14,0.00061893,5.3498777e-11,0.05551271,1.17159725,0.52585296,0.21337665,0.18214033,2.56064067,1.2060444024307873e-07,7.876855029124699e-06,0.9544481504863164,0.4398433386427069,0.0642914671056412
healthy1,29,0,1.1964262e-07,6.83342783e-06,4.66957359e-11,-0.087815,0.58752926,6.83447512e-06,0.0203776,9.92942783e-12,0.56395758,8.06883688e-12,0.45828237,2.78556112e-12,0.15821036,1.26117001e-12,0.07163015,1.24104046e-14,0.00070487,4.66957359e-11,0.06884679,1.03902814,0.52558844,0.28392434,0.23620683,2.7466355,1.1942109276157056e-07,8.675730313539636e-06,0.9562131727011368,0.3718728504518653,0.0631256243647361
healthy1,30,0,-8.80067808e-08,8.52428381e-06,7.26634145e-11,-0.43781437,1.35348202,8.5247381e-06,0.02044271,1.18973809e-11,0.54216148,9.74835279e-12,0.44423066,3.27836588e-12,0.14939454,2.1175783e-12,0.09649766,1.52760827e-14,0.00069613,7.26634145e-11,0.06417913,1.23885409,0.52040532,0.25768324,0.20347804,2.78321219,1.401488994261495e-07,9.549573762840564e-06,0.9580010424354892,0.3540879615910328,0.0630523991670643
healthy1,31,0,1.9598785e-08,6.89060229e-06,4.74803999e-11,-0.12046336,0.08026396,6.89063016e-06,0.01972656,9.66262096e-12,0.57058468,7.77499588e-12,0.45911907,2.44887098e-12,0.14460758,1.38798094e-12,0.08196127,1.12823836e-14,0.00066623,4.74803999e-11,0.06782327,1.04680864,0.52065226,0.28102671,0.23176902,2.7301111,1.1782406974906829e-07,8.581134561375954e-06,0.957189335659638,0.3558244302706264,0.0644503899582294
healthy1,32,0,-1.31667957e-08,6.50375921e-06,4.22988839e-11,-0.04988897,0.22017494,6.50377254e-06,0.02148438,9.15249487e-12,0.53290907,9.12085934e-12,0.53106708,2.87478515e-12,0.16738595,1.27264836e-12,0.07410065,1.24715542e-14,0.00072616,4.22988839e-11,0.07300499,0.97014234,0.51980147,0.30551093,0.25498444,2.75951759,1.1797485882502265e-07,9.107112975077055e-06,0.9581961991686698,0.2112090458348723,0.0635908100728085
healthy1,33,0,2.36467991e-08,6.58862511e-06,4.34099808e-11,-0.18927771,0.53277353,6.58866754e-06,0.02207031,9.25131245e-12,0.56242136,8.33922079e-12,0.50697194,2.34612995e-12,0.14262988,1.205468e-12,0.07328484,1.37609794e-14,0.00083658,4.34099808e-11,0.06973884,1.0025248,0.52394681,0.27517153,0.22552218,2.70207998,1.1280506533600073e-07,8.474509814869186e-06,0.957722014341243,0.2882008813512248,0.0633060893119455
healthy1,34,0,-9.57255961e-08,7.31795407e-06,5.35524517e-11,-0.00065839,0.31777755,7.31858013e-06,0.02115885,1.05108249e-11,0.51053265,1.02926355e-11,0.49993473,3.49409841e-12,0.16971563,1.8201378e-12,0.08840788,1.00041128e-14,0.00048592,5.35524517e-11,0.07354991,1.03613604,0.51957139,0.30009036,0.23445019,2.80471204,1.248228303495999e-07,9.540513695202988e-06,0.9603905269935727,0.4712561865662318,0.0644457080012181
healthy1,35,0,4.05211236e-08,7.95721649e-06,6.33172942e-11,-0.15520396,0.09168866,7.95731966e-06,0.02363281,1.27916415e-11,0.50342061,1.34653242e-11,0.52993368,4.61238072e-12,0.18152225,1.99612253e-12,0.07855827,1.09736194e-14,0.00043187,6.33172942e-11,0.0744951,1.06484251,0.51052176,0.31645506,0.27050288,2.78537747,1.39776969800125e-07,1.1485622763857232e-05,0.9628121926444922,0.3045571236088146,0.0642408574300081
healthy1,36,0,5.77577726e-08,8.6837499e-06,7.54075124e-11,-0.0870609,0.37542211,8.68394198e-06,0.01660156,1.27834787e-11,0.57929833,1.08274358e-11,0.49065796,3.16976222e-12,0.14364149,1.22903226e-12,0.05569504,1.00846935e-14,0.000457,7.54075124e-11,0.05821925,1.22351573,0.51274701,0.22940454,0.19768627,2.66084283,1.4176877516711217e-07,9.968044068282132e-06,0.9616947828125232,0.5962299536939014,0.0659290315552491
healthy1,37,0,-1.17309725e-08,7.71549869e-06,5.95289201e-11,-0.21652047,0.52266493,7.71550761e-06,0.01907552,1.22274098e-11,0.54892142,1.24649346e-11,0.55958456,3.19203349e-12,0.143299,1.13784627e-12,0.05108099,1.31343917e-14,0.00058964,5.95289201e-11,0.06393498,1.07264866,0.51792921,0.25439657,0.21447106,2.6273863,1.305067682863631e-07,1.0171266386373034e-05,0.962959070268492,0.3374848369430834,0.0665422475295051
healthy1,38,0,2.28120992e-08,8.27113049e-06,6.84115996e-11,-0.33365478,0.68065268,8.27116195e-06,0.01757812,1.25263889e-11,0.5738662,8.04025214e-12,0.3683447,3.16573617e-12,0.14503054,1.65421518e-12,0.07578387,1.15051051e-14,0.00052708,6.84115996e-11,0.06261082,1.19044697,0.51814623,0.24913292,0.20174987,2.68921168,1.3674815361670981e-07,8.356018942913498e-06,0.960000402351112,0.3219789734688434,0.0634979815900968
healthy1,39,0,-6.73497752e-08,8.0678744e-06,6.50905974e-11,0.00276143,0.22163174,8.06815551e-06,0.01764323,1.17853928e-11,0.52606539,1.18846452e-11,0.53049572,3.96275445e-12,0.17688574,1.18027537e-12,0.05268403,1.16392322e-14,0.00051954,6.50905974e-11,0.06395259,1.08731232,0.51429179,0.25827066,0.21142591,2.71698714,1.3908824967232257e-07,1.0721693652575452e-05,0.9641552751990335,0.406690253761352,0.0651138154541603
healthy1,40,0,4.25545996e-08,9.77625977e-06,9.55752552e-11,-0.16447374,1.14372712,9.77635239e-06,0.02486979,1.12598125e-11,0.47623495,8.8517602e-12,0.37438612,5.57664037e-12,0.23586459,2.86073422e-12,0.12099505,1.42465711e-14,0.00060256,9.55752552e-11,0.06748473,1.41165556,0.52173086,0.27692001,0.24170259,3.00434425,1.568402819742296e-07,9.162246466292106e-06,0.9529384885304552,0.5305363617004426,0.0604610297946082
healthy1,41,0,3.26605889e-09,5.83855504e-06,3.40887249e-11,-0.04387089,0.46192549,5.83855595e-06,0.02617188,6.91557911e-12,0.48995709,7.95722661e-12,0.56375605,2.35423382e-12,0.16679349,1.06304239e-12,0.07531476,1.54198714e-14,0.00109247,3.40887249e-11,0.07742688,0.93667277,0.53050205,0.32689965,0.26112696,2.81651105,1.047953046377517e-07,8.634453516552628e-06,0.950789312567336,0.2786133459795832,0.0604286370615141
healthy1,42,0,-3.32928083e-08,6.33700369e-06,4.01576157e-11,-0.24077973,1.16378039,6.33709114e-06,0.02141927,7.14255618e-12,0.4850895,7.52213532e-12,0.51086877,2.38471144e-12,0.16195861,1.2922293e-12,0.08776226,1.05659708e-14,0.00071759,4.01576157e-11,0.0723966,0.97827914,0.52293882,0.28902956,0.2334527,2.85096761,1.0839081848730893e-07,8.535783503580385e-06,0.9557557779743586,0.477914117718495,0.0635106608561393
healthy1,43,0,4.42775744e-08,8.02203319e-06,6.43530165e-11,-0.02719177,0.30366085,8.02215538e-06,0.02213542,1.10081043e-11,0.49258162,1.07808886e-11,0.48241436,3.88363245e-12,0.1737816,2.09388326e-12,0.09369537,9.93022449e-15,0.00044435,6.43530165e-11,0.07045639,1.10612048,0.51086447,0.29238289,0.24328324,2.83893467,1.3681482636966326e-07,1.02354335579626e-05,0.9620908488053648,0.4247489712027449,0.064394882998976
healthy1,44,0,-8.33845156e-09,7.31053494e-06,5.34439211e-11,0.0060795,0.23459858,7.3105397e-06,0.01914063,1.04177405e-11,0.54440863,1.00100066e-11,0.52310134,3.18706974e-12,0.16654939,1.01504804e-12,0.05304422,9.67209172e-15,0.00050544,5.34439211e-11,0.06489372,1.03074327,0.51887083,0.26266625,0.22272518,2.6961408,1.2502892619122473e-07,9.456711144519124e-06,0.961165710885266,0.4082625564453277,0.0650395614330937
healthy1,45,0,-7.8151699e-08,7.27965646e-06,5.29933981e-11,0.10234428,0.40360807,7.28007595e-06,0.02226563,1.05251146e-11,0.51274805,1.01677922e-11,0.49534051,3.51024674e-12,0.17100737,1.8962777e-12,0.09238025,1.07928191e-14,0.00052579,5.29933981e-11,0.07471621,1.02586965,0.51486025,0.31196601,0.24925046,2.82016567,1.290579052763286e-07,9.77759212116487e-06,0.9610277398220496,0.3487943724011702,0.063564746119395
healthy1,46,0,1.7802021e-08,7.27663432e-06,5.2949407e-11,-0.19572237,0.14745938,7.27665609e-06,0.02011719,1.23164338e-11,0.56798882,1.1114126e-11,0.51254279,3.16319665e-12,0.14587505,1.16827055e-12,0.05387636,9.70602261e-15,0.00044761,5.2949407e-11,0.06672067,1.00543234,0.51269053,0.27354479,0.23175994,2.65440271,1.2505316699344756e-07,9.691299946329106e-06,0.9633224190594988,0.1380305793653958,0.0651625569814109
healthy1,47,0,8.99199573e-08,1.05934035e-05,1.12220199e-10,0.25874376,0.84804588,1.05937852e-05,0.01842448,1.467553e-11,0.54060126,1.18585677e-11,0.43683306,4.38577053e-12,0.16155826,2.0833951e-12,0.07674585,9.95623312e-15,0.00036676,1.12220199e-10,0.05579564,1.39515581,0.51285469,0.21597401,0.18302336,2.73324391,1.6619000314184746e-07,1.0384601075557588e-05,0.9628097952900678,0.5626633678664549,0.0651336105273409
healthy1,48,0,-5.18752833e-08,9.34117726e-06,8.72575926e-11,-0.01321501,0.02011836,9.3413213e-06,0.01803385,1.53928072e-11,0.55906896,1.33445295e-11,0.48467522,4.62357314e-12,0.16792884,1.68872601e-12,0.06133477,1.00789514e-14,0.00036607,8.72575926e-11,0.06094557,1.20972978,0.5084551,0.24401641,0.21103716,2.69841029,1.5621711526260718e-07,1.0953990817557691e-05,0.966070560484953,0.1997801378932245,0.0663251308061066
healthy1,49,0,-1.85173323e-07,1.11132993e-05,1.2350542e-10,-0.11450318,0.9856075,1.11148419e-05,0.01477865,1.77627553e-11,0.6318427,1.43678284e-11,0.51108104,3.11585874e-12,0.11083486,7.76021677e-13,0.02760403,8.844428960000001e-15,0.00031461,1.2350542e-10,0.04372592,1.41479686,0.50766904,0.15627861,0.13865177,2.41781883,1.6796122143908172e-07,1.130364421138514e-05,0.9682765534389765,0.602618303349528,0.0698585546431708
healthy1,50,0,1.9896567e-07,1.09371339e-05,1.19620898e-10,0.19523606,0.57907365,1.09389435e-05,0.01451823,1.62307422e-11,0.59219198,1.1908082e-11,0.43447617,3.70269851e-12,0.135096,1.5227187e-12,0.05555764,1.27347374e-14,0.00046464,1.19620898e-10,0.04926047,1.47849133,0.51822992,0.18241774,0.16029215,2.59224341,1.70037924234085e-07,1.0241803895319606e-05,0.9625749509559366,0.2040968918041065,0.0661717658254709
healthy1,51,0,-4.45870955e-08,1.06317574e-05,1.13034265e-10,-0.00667536,0.10914137,1.06318509e-05,0.01419271,1.77577204e-11,0.6238496,1.08960718e-11,0.38279181,3.04520536e-12,0.10698165,1.52093772e-12,0.05343233,1.17872858e-14,0.0004141,1.13034265e-10,0.04875433,1.47216812,0.50985767,0.1803316,0.16224802,2.51957249,1.6788298184655737e-07,9.597435430013404e-06,0.9629620895501466,0.3788825221863917,0.0663857136482523
healthy1,52,0,-1.60127233e-08,9.64432928e-06,9.30130872e-11,0.04732,0.12586866,9.64434257e-06,0.0156901,1.56748006e-11,0.60031695,1.22420247e-11,0.46884775,3.2660277e-12,0.12508304,1.22159113e-12,0.04678476,1.10801049e-14,0.00042435,9.30130872e-11,0.052657,1.29791863,0.50915391,0.20096664,0.17756529,2.54920096,1.536656923802226e-07,1.0215142097379996e-05,0.9641333778671362,0.4309761973984458,0.0675545257165367
healthy1,53,0,-3.03555798e-08,1.09043202e-05,1.18904199e-10,0.02700457,-0.1794669,1.09043625e-05,0.01321615,1.52105651e-11,0.6183251,1.06826904e-11,0.43426234,2.99302382e-12,0.12166949,1.20728002e-12,0.04907717,8.921052710000001e-15,0.00036265,1.18904199e-10,0.04511047,1.4611915,0.51018597,0.16274526,0.14788255,2.51301843,1.6950142211600632e-07,9.880911914012232e-06,0.9654337141510008,0.2804875925518561,0.0672457051820974
healthy1,54,0,6.05943744e-08,1.10511247e-05,1.22127357e-10,0.0861577,0.45795866,1.10512908e-05,0.01269531,2.04501765e-11,0.66676854,1.32923192e-11,0.43338992,3.13081508e-12,0.10207878,1.10076913e-12,0.03589007,1.02183239e-14,0.00033316,1.22127357e-10,0.0446849,1.48253347,0.51258461,0.16094804,0.14620106,2.40661908,1.7251316872700349e-07,9.877633711711925e-06,0.9649225925535152,0.2209024523337892,0.0676758914320123
healthy1,55,0,1.53180638e-07,1.3601088e-05,1.84989594e-10,0.02834403,0.01070459,1.36019505e-05,0.0108724,2.07656825e-11,0.6599486,1.29572439e-11,0.4117907,3.09071848e-12,0.0982253,7.6547773e-13,0.02432744,9.50532178e-15,0.00030209,1.84989594e-10,0.03517565,1.75642395,0.50492085,0.11795218,0.11273979,2.33320309,1.967452536833017e-07,1.003860211134208e-05,0.9693508292051192,0.2220130067761029,0.0675199643303367
healthy1,56,0,-2.17099675e-07,1.1421491e-05,1.30450456e-10,0.02213044,0.65501457,1.14235541e-05,0.01582031,1.54809962e-11,0.58932038,1.31014778e-11,0.49873843,3.97285864e-12,0.15123617,1.01945301e-12,0.03880787,1.02882506e-14,0.00039165,1.30450456e-10,0.04500908,1.48502749,0.5063747,0.16258676,0.14963543,2.58860818,1.7283216267618788e-07,1.0973790725918145e-05,0.9668537009733568,0.3968756420666601,0.0676321339235156
